,head_select,dataset,model,n_heads,alpha,fold,toxicity_red,ppl_mean,ppl_std,file
35,pns,hate,llama3_8B,10,0.0,0,0.28475216614110044,17.58447407412529,24.002625848897914,pns_hate_llama3_8B_top_10_heads_alpha_0.0_fold_0_special.csv
36,pns,hate,llama3_8B,10,0.0,1,0.2575789802072127,17.328910693228245,28.993037481428022,pns_hate_llama3_8B_top_10_heads_alpha_0.0_fold_1_special.csv
3,acc,hate,llama3_8B,18,5.0,0,0.2996934122752976,12.3730981631279,18.760387033031098,acc_hate_llama3_8B_top_18_heads_alpha_5.0_fold_0_special.csv
4,acc,hate,llama3_8B,18,5.0,1,0.27404017511922546,13.866576478540898,16.760746458082853,acc_hate_llama3_8B_top_18_heads_alpha_5.0_fold_1_special.csv
37,pns,hate,llama3_8B,18,5.0,1,0.27999984093289726,,,pns_hate_llama3_8B_top_18_heads_alpha_5.0_fold_1_special.csv
5,acc,hate,llama3_8B,36,5.0,0,0.3273157861062401,,,acc_hate_llama3_8B_top_36_heads_alpha_5.0_fold_0_special.csv
6,acc,hate,llama3_8B,36,5.0,1,0.29402974904732415,,,acc_hate_llama3_8B_top_36_heads_alpha_5.0_fold_1_special.csv
0,acc,hate,llama3_8B_hate_vicuna_18_0.0001_acc,18,15.0,0,0.3183032489493385,2924.055713371277,2545.9258097144543,acc_hate_llama3_8B_hate_vicuna_18_0.0001_acc_top_18_heads_alpha_15.0_fold_0_special.csv
1,acc,hate,llama3_8B_hate_vicuna_18_0.0001_acc,18,15.0,1,0.107297084406414,21.091632989764214,19.43370177060958,acc_hate_llama3_8B_hate_vicuna_18_0.0001_acc_top_18_heads_alpha_15.0_fold_1_special.csv
32,pns,hate,llama3_8B_hate_vicuna_18_0.0001_pns,18,15.0,0,0.38142564421280245,33243.19110028076,40148.3354460979,pns_hate_llama3_8B_hate_vicuna_18_0.0001_pns_top_18_heads_alpha_15.0_fold_0_special.csv
33,pns,hate,llama3_8B_hate_vicuna_18_0.0001_pns,18,15.0,1,0.31552723101065205,4568.714569759369,6546.7953483398815,pns_hate_llama3_8B_hate_vicuna_18_0.0001_pns_top_18_heads_alpha_15.0_fold_1_special.csv
2,acc,hate,llama3_8B_hate_vicuna_36_0.0001_acc,36,15.0,0,0.381873160073649,80885.6529005127,72110.83000275602,acc_hate_llama3_8B_hate_vicuna_36_0.0001_acc_top_36_heads_alpha_15.0_fold_0_special.csv
34,pns,hate,llama3_8B_hate_vicuna_36_0.0001_pns,36,15.0,0,0.2057885657045242,54686.302407714844,44584.68733393313,pns_hate_llama3_8B_hate_vicuna_36_0.0001_pns_top_36_heads_alpha_15.0_fold_0_special.csv
39,pns,hate,vicuna_13B,10,0.0,0,0.3463674123420963,13.260175232143297,20.02857064399676,pns_hate_vicuna_13B_top_10_heads_alpha_0.0_fold_0_special.csv
40,pns,hate,vicuna_13B,10,0.0,1,0.2850093924775733,12.800235757648945,20.87964574591576,pns_hate_vicuna_13B_top_10_heads_alpha_0.0_fold_1_special.csv
8,acc,hate,vicuna_13B,18,5.0,0,0.3141161449357496,,,acc_hate_vicuna_13B_top_18_heads_alpha_5.0_fold_0_special.csv
41,pns,hate,vicuna_13B,18,5.0,0,0.34878933744311136,13.771695754581824,20.931838688953835,pns_hate_vicuna_13B_top_18_heads_alpha_5.0_fold_0_special.csv
9,acc,hate,vicuna_13B,18,5.0,1,0.28908986133838216,,,acc_hate_vicuna_13B_top_18_heads_alpha_5.0_fold_1_special.csv
10,acc,hate,vicuna_13B,36,5.0,0,0.3156172090025793,,,acc_hate_vicuna_13B_top_36_heads_alpha_5.0_fold_0_special.csv
42,pns,hate,vicuna_13B,36,5.0,0,0.3244623940230899,,,pns_hate_vicuna_13B_top_36_heads_alpha_5.0_fold_0_special.csv
11,acc,hate,vicuna_13B,36,5.0,1,0.28909123530874936,,,acc_hate_vicuna_13B_top_36_heads_alpha_5.0_fold_1_special.csv
43,pns,hate,vicuna_13B,36,5.0,1,0.2989200959309847,,,pns_hate_vicuna_13B_top_36_heads_alpha_5.0_fold_1_special.csv
